id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20190496,"R 4 500 Nugget Street, Johannesburg Central 2 Bedroom Apartment / Flat to Rent in Johannesburg Central Hollywood Centre offer stylish, secure and affordable accommodation. The development saw the conversion of ... Available: 29 March 2019 2 | 1 Floor Size: 60 m²", Beds, Bathrooms,,, ,1,60 m²,,,Available: 29 March 2019,
20190497,"R 12 000 9 Clarence Avenue, Craighall Park 2 Bedroom Apartment / Flat to Rent in Craighall Park 2 Bedroom garden unit in Castellana, a well maintained complex in Craighall Park. The complex has a pool ... Available: 29 March 2019 2 | 1 Floor Size: 80 m²",2 Bedroom Apartment / flat to rent in Craighall Park - Johannesburg, Property.CoZa - Randburg,R 12 000,"9 Clarence Avenue, Craighall Park",Available: 29 March 2019,Beds,2,1,80 m²,2 Bedroom Apartment / Flat to Rent in Craighall Park,
20190498,"R 9 500 35 13th Ave Parktown North, Parktown North 2 Bedroom Apartment / Flat to Rent in Parktown North SARINGA COTTAGE Looking for a charming cottage in the leafy suburb of Parktown North? You've come to the ... Available: 01 June 2019 2 | 1 Floor Size: 85 m²",2 Bedroom Apartment / flat to rent in Parktown North - Johannesburg, Rental,R 9 500,"35 13th Ave Parktown North, Parktown North",Available: 01 June 2019,Beds,2,1,85 m²,2 Bedroom Apartment / Flat to Rent in Parktown North,
20190499,"R 7 000 212 Lyndhurst Road, Lyndhurst 2 Bedroom Apartment / Flat to Rent in Lyndhurst Perfect opportunity...... All the finishes of a luxury house fitted into a comfy apartment available to ... Available: 12 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Lyndhurst - Johannesburg, Property.CoZa - Midrand,R 7 000,"212 Lyndhurst Road, Lyndhurst",Available: 12 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Lyndhurst,
20190500,"R 28 000 3 Hood Avenue, Rosebank 2 Bedroom Apartment / Flat to Rent in Rosebank MAGNIFICENT ULTRA MODERN FULLY FURNISHED 2 BEDROOM 2 BATHROOM APARTMENT Magnificent Contempary Ultra ... Available: 04 April 2019 2 | 2 | 2 Floor Size: 123 m²",2 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Knightbridge Properties,R 28 000,"3 Hood Avenue, Rosebank",Available: 04 April 2019,Beds,2,2,123 m²,2 Bedroom Apartment / Flat to Rent in Rosebank,
20190501,"R 6 500 17 Anderson Street, Marshalltown 1 Bedroom Apartment / Flat to Rent in Marshalltown This spacious apartment in the Mapungubwe Hotel is perfect for a young professional. Boasting a large ... Available: 05 April 2019 1 | 1 Floor Size: 44 m²",1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Seeff - Johannesburg Central,R 6 500,"17 Anderson Street, Marshalltown",Available: 05 April 2019,Beds,1,1,44 m²,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20190502,"R 15 000 1 Noordhoek Close, Melrose North 2 Bedroom Apartment / Flat to Rent in Melrose North Well appointed unit in the popular security complex. Fully equipped and furnished. Well located, within walking distance to Melrose Arch, close to Rosebank ... 2 | 1 Erf Size: 78 m²",2 Bedroom Apartment / flat to rent in Melrose North - Johannesburg, Pam Golding Properties - Hyde Park Letting,R 15 000,"1 Noordhoek Close, Melrose North",,Beds,2,2 | 1, Erf Size: 78 m²,2 Bedroom Apartment / Flat to Rent in Melrose North,78 m²
20190503,"R 14 500 16 Bompas Road, Dunkeld West 2 Bedroom Apartment / Flat to Rent in Dunkeld West This north facing apartment is situated in Coloretto which is a well maintained complex with 24 hour security ... Available: 01 May 2019 2 | 1 Floor Size: 112 m²",2 Bedroom Apartment / flat to rent in Dunkeld West - Johannesburg, Seeff Sandton,R 14 500,"16 Bompas Road, Dunkeld West",Available: 01 May 2019,Beds,2,1,112 m²,2 Bedroom Apartment / Flat to Rent in Dunkeld West,
20190504,"R 5 500 Commissioner Street, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 1 Bedroom apartment available to rent for R5500.00 Kitchen with stove and sick Bathroom with shower only Prepaid electricity Neat and tidy Available ... 1 | 1 Floor Size: 1 m²",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, National Letting - Johannesburg,R 5 500,"Commissioner Street, Johannesburg Central",,Beds,1,1 | 1, Floor Size: 1 m²,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,1 m²
20190505,"R 19 000 6 Bompas Rd, Dunkeld West 2 Bedroom Apartment / Flat to Rent in Dunkeld West You'll be the first occupant of a beautiful unfurnished garden apartment in the brand new Six Bompas ... Available: 01 May 2019 2 | 2 Floor Size: 101 m²",2 Bedroom Apartment / flat to rent in Dunkeld West - Johannesburg, Rental,R 19 000,"6 Bompas Rd, Dunkeld West",Available: 01 May 2019,Beds,2,2,101 m²,2 Bedroom Apartment / Flat to Rent in Dunkeld West,
20190506,"R 28 000 22 North Rd, Dunkeld 2 Bedroom Apartment / Flat to Rent in Dunkeld ULTRA LUXURIOUS FULLY FURNISHED 2 BED 2 BATH (all en suite ) APARTMENT. The epitome of Luxury is this ... Available: 03 April 2019 2 | 2 Floor Size: 110 m²",2 Bedroom Apartment / flat to rent in Dunkeld - Johannesburg, Knightbridge Properties,R 28 000,"22 North Rd, Dunkeld",Available: 03 April 2019,Beds,2,2,110 m²,2 Bedroom Apartment / Flat to Rent in Dunkeld,
20190507,"R 11 000 5 3rd Street, Killarney 2 Bedroom Apartment / Flat to Rent in Killarney Ideally located with easy access to the CBD, Rosebank, schools, Wits and motorways, this lovely unit is ... Available: 12 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Firzt Realty Company Firzt Realty Company,R 11 000,"5 3rd Street, Killarney",Available: 12 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Killarney,
20190508,"R 5 800 4 Northumberland Road, South Kensington 2 Bedroom Apartment / Flat to Rent in South Kensington Offering 1 Spacious Bedroom with Bathroom Additional small Bedroom or Study Large open Plan Lounge and ... Available: 31 May 2019 2 | 1 Floor Size: 50 m²", ,  ,2 Bedroom Apartment / Flat to Rent in South Kensington,Offering 1 Spacious Bedroom with Bathroom Additional small Bedroom or Study Large open Plan Lounge and ..., ,,,,, ,
20190509,"R 12 000 00 Crystal Court cilliers Street, Suideroord 3 Bedroom Townhouse to Rent in Suideroord This unit comprises of three spacious bedrooms, two bathrooms, staff quarters or flatlet which is secluded. A ... Available: 01 May 2019 3 | 2 | 2 Floor Size: 180 m²",3 Bedroom Townhouse to rent in Suideroord - Johannesburg, PropertyCloud,R 12 000,"00 Crystal Court cilliers Street, Suideroord",Available: 01 May 2019,Beds,3,2,180 m²,3 Bedroom Townhouse to Rent in Suideroord,
20190510,"R 11 000 5 3rd Street, Killarney 2 Bedroom Apartment / Flat to Rent in Killarney Ideally located with easy access to the CBD, Rosebank, schools, Wits and motorways, this lovely unit is ... Available: 12 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Firzt Realty Company Firzt Realty Company,R 11 000,"5 3rd Street, Killarney",Available: 12 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Killarney,
20190511,"R 16 000 66 Oxford Road, Riviera 3 Bedroom Apartment / Flat to Rent in Riviera RIVIERA / KILLARNEY The Riviera UNFURNISHED Spacious Penthouse 3 bedrooms 2.5 bathrooms 2 ... Available: 01 May 2019 3 | 2.5 | 1 Floor Size: 145 m²",3 Bedroom Apartment / flat to rent in Riviera - Johannesburg, You Realty,R 16 000,"66 Oxford Road, Riviera",Available: 01 May 2019,Beds,3,2.5,145 m²,3 Bedroom Apartment / Flat to Rent in Riviera,
20190512,"R 16 500 286 Fox St, Maboneng 1 Bedroom Apartment / Flat to Rent in Maboneng Beautifully appointed open plan penthouse in the heart of Maboneng with magnificent North facing city views. ... Available: 01 May 2019 1 | 2 | 1 Floor Size: 100 m²",1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Rental,R 16 500,"286 Fox St, Maboneng",Available: 01 May 2019,Beds,1,2,100 m²,1 Bedroom Apartment / Flat to Rent in Maboneng,
20190513,"R 3 600 Cnr Nugget and Helen Joseph, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Hollywood Centre is a brand new development situated on the corner of Helen Joseph and Nugget Street in the Johannesburg CBD and offer brand new bachelor , 1 ... 1 | 1 Floor Size: 45 m²", Beds, Bathrooms,,, ,1 | 1, Floor Size: 45 m²,  ,45 m²,,
20190514,"R 5 500 1 Paul Road, Corner Tamboti Street Alveda 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park Newly Built Units, Highly Enhanced Security System, Best of Johannesburg South Brand New Units 2 Bed, 1 Bath ... Available: 01 May 2019 2 | 1 Floor Size: 45 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 5 500,"1 Paul Road, Corner Tamboti Street Alveda 2091, Kibler Park",Available: 01 May 2019,Beds,2,1,45 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190515,"R 9 000 10 Pruinosa Street, Glenvista 3 Bedroom Apartment / Flat to Rent in Glenvista This modern and tiled upstairs unit has a magnificent view of the Glenvista Golf Course. There are three ... Available: 01 May 2019 3 | 2",3 Bedroom Apartment / flat to rent in Glenvista - Johannesburg, PropertyCloud,R 9 000,"10 Pruinosa Street, Glenvista",Available: 01 May 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Glenvista,
20190516,"R 5 500 Unit 30, Key Largo, 185 Frances St, Observatory 1 Bedroom Townhouse to Rent in Observatory 1 bedroom, 1 bathroom townhouse with Lounge / Dining Room and a big porch - partly covered. It's within ... Available: 09 April 2019 1 | 1 | 1 Floor Size: 82 m²",1 Bedroom Townhouse to rent in Observatory - Johannesburg, Rental,R 5 500,"Unit 30, Key Largo, 185 Frances St, Observatory",Available: 09 April 2019,Beds,1,1,82 m²,1 Bedroom Townhouse to Rent in Observatory,
20190517,"R 20 000 6 Bompas Road, Dunkeld 2 Bedroom Apartment / Flat to Rent in Dunkeld MAGNIFICENT 2 BED 2 BATH APARTMENT IN BRAND NEW DEVELOPEMENT Magnificent 2 bed 2 bath Semi Furnished ... Available: 01 April 2019 2 | 2 Floor Size: 94 m²",2 Bedroom Apartment / flat to rent in Dunkeld - Johannesburg, Knightbridge Properties,R 20 000,"6 Bompas Road, Dunkeld",Available: 01 April 2019,Beds,2,2,94 m²,2 Bedroom Apartment / Flat to Rent in Dunkeld,
20190518,"R 3 850 1 Roxy Drive, Albertville 1 Bedroom Townhouse to Rent in Albertville Inyanga, complex is superbly located and offers 24hour security with controlled access! In fact – the guards ... Available: 15 April 2019 1 | 1",1 Bedroom Townhouse to rent in Albertville - Johannesburg, EA Properties,R 3 850,"1 Roxy Drive, Albertville",Available: 15 April 2019,Beds,1,1,,1 Bedroom Townhouse to Rent in Albertville,
20190519,"R 10 200 Richmond Park, Oakdene Parks Street, Oakdene 3 Bedroom Townhouse to Rent in Oakdene Perfectly positioned in a highly sort after complex, Richmond Park Lifestyle Estate. Spacious and modern ... Available: 01 June 2019 3 | 2",3 Bedroom Townhouse to rent in Oakdene - Johannesburg, PropertyCloud,R 10 200,"Richmond Park, Oakdene Parks Street, Oakdene",Available: 01 June 2019,Beds,3,2,,3 Bedroom Townhouse to Rent in Oakdene,
20190520,"R 40 000 35 Westwood Ave, Melrose North 3 Bedroom Townhouse to Rent in Melrose North MELROSE NORTH Westwood FURNISHED or UNFURNISHED Spacious Duplex Cluster Walk to James & Ethel Gray ... Available: 11 April 2019 3 | 3.5 | 2",3 Bedroom Townhouse to rent in Melrose North - Johannesburg, You Realty,R 40 000,"35 Westwood Ave, Melrose North",Available: 11 April 2019,Beds,3,3.5,,3 Bedroom Townhouse to Rent in Melrose North,
20190521,"R 7 000 95 Cricklewood, Jordie Street, Mulbarton 2 Bedroom Townhouse to Rent in Mulbarton Comfortable, upstairs, fully tiled unit, offering : 2 x bedrooms 1x full bathroom Lounge/dining room ... Available: 01 May 2019 2 | 1 Erf Size: 35 290 m²",2 Bedroom Townhouse to rent in Mulbarton - Johannesburg, Lencar Exclusive Properties,R 7 000,"95 Cricklewood, Jordie Street, Mulbarton",Available: 01 May 2019,Beds,2,1,35 290 m²,2 Bedroom Townhouse to Rent in Mulbarton,
20190522,"R 17 000 15 Kernick Avenue, Melrose 2 Bedroom Apartment / Flat to Rent in Melrose Fabulous fully furnished 2 bed 2 bath ground floor apartment. Magnificent fully furnished 2 bed 2 bath (mes) ... Available: 28 March 2019 2 | 2 Floor Size: 94 m²",2 Bedroom Apartment / flat to rent in Melrose - Johannesburg, Knightbridge Properties,R 17 000,"15 Kernick Avenue, Melrose",Available: 28 March 2019,Beds,2,2,94 m²,2 Bedroom Apartment / Flat to Rent in Melrose,
20190523,"R 12 000 53 Dundalk Ave, Parkview 2 Bedroom Apartment / Flat to Rent in Parkview Large Garden Cottage to Rent Spacious garden cottage for rent in Parkview (2 minute walk from Parkview ... Available: 01 May 2019 2 | 2 | 2 Floor Size: 100 m²",2 Bedroom Apartment / flat to rent in Parkview - Johannesburg, Rental,R 12 000,"53 Dundalk Ave, Parkview",Available: 01 May 2019,Beds,2,2,100 m²,2 Bedroom Apartment / Flat to Rent in Parkview,
20190524,"R 5 500 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Meredale 2 Bedroom Apartment / Flat to Rent in Meredale State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 45 m²",2 Bedroom Apartment / flat to rent in Meredale - Johannesburg, 2LetNow - JHB,R 5 500,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Meredale",Available: 01 April 2019,Beds,2,1,45 m²,2 Bedroom Apartment / Flat to Rent in Meredale,
20190525,"R 28 000 18 North Rd , Dunkeld 2 Bedroom Apartment / Flat to Rent in Dunkeld Superb low volume development with chic finishes in leafy Dunkeld neighbourhood. The unit features 2 spacious ... Available: 01 April 2019 2 | 2.5 Floor Size: 155 m²",2 Bedroom Apartment / flat to rent in Dunkeld - Johannesburg, Kent Gush Properties,R 28 000,"18 North Rd , Dunkeld",Available: 01 April 2019,Beds,2,2.5,155 m²,2 Bedroom Apartment / Flat to Rent in Dunkeld,
20190526,"R 18 000 50 West Kernick Ave, Melrose 2 Bedroom Apartment / Flat to Rent in Melrose MELROSE ARCH The Fitzgerald Brand New and Modern! UNFURNISHED Garden Apartment 2 bedrooms 2 bathrooms ... Available: 11 April 2019 2 | 2 | 1 Floor Size: 77 m²",2 Bedroom Apartment / flat to rent in Melrose - Johannesburg, You Realty,R 18 000,"50 West Kernick Ave, Melrose",Available: 11 April 2019,Beds,2,2,77 m²,2 Bedroom Apartment / Flat to Rent in Melrose,
20190527,"R 6 350 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 6 350,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park",Available: 01 April 2019,Beds,2,1,56 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190528,"R 45 000 401 Lloys Avenue , Houghton Estate 2 Bedroom Apartment / Flat to Rent in Houghton Estate Magnificent 2 bedroom en suite penthouse 2 Bedrooms each with en suite bathroom The magnificent views ... Available: 07 April 2019 2 | 2.5 Floor Size: 300 m²",2 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Alan Becker Properties,R 45 000,"401 Lloys Avenue , Houghton Estate",Available: 07 April 2019,Beds,2,2.5,300 m²,2 Bedroom Apartment / Flat to Rent in Houghton Estate,
20190529,"R 7 550 16 Conroy Street (cottage), Suideroord 2 Bedroom Apartment / Flat to Rent in Suideroord Cosy safe, 2 bedroom, 1 bathroom cottage, with own carport to let. Newly renovated 2 Bedroom cottage with ... Available: 01 April 2019 2 | 1 Floor Size: 80 m²",2 Bedroom Apartment / flat to rent in Suideroord - Johannesburg, Seeff Kibler Park,R 7 550,"16 Conroy Street (cottage), Suideroord",Available: 01 April 2019,Beds,2,1,80 m²,2 Bedroom Apartment / Flat to Rent in Suideroord,
20190530,"R 6 550 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 6 550,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park",Available: 01 April 2019,Beds,2,1,56 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190531,"R 4 400 1 Terrace & Viljoen Street, Lorentzville 1 Bedroom Apartment / Flat to Rent in Lorentzville Lovely apartment to rent in Tervil Court in Lorentzville. Parquet flooring throughout the apartment. Lovely ... Available: 01 May 2019 1 | 1",1 Bedroom Apartment / flat to rent in Lorentzville - Johannesburg, Framework Property Services,R 4 400,"1 Terrace & Viljoen Street, Lorentzville",Available: 01 May 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Lorentzville,
20190532,R 2 943 Apartment / Flat to Rent in Yeoville Bachelor flat available immediately at kingsvale court. in Yeoville. Amenities available are both primary and ... Available: 01 May 2019 1 | 1 Floor Size: 30 m², Trafalgar Property Management, Bathrooms, , ,,1,30 m²,,,Available: 01 May 2019,
20190533,"R 6 100 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Mayfield Park 2 Bedroom Apartment / Flat to Rent in Mayfield Park Newly Built Units, Highly Enhanced Security System, Best of Johannesburg South Brand New Units 2 Bed, 1 Bath ... Available: 12 April 2019 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in Mayfield Park - Johannesburg, 2LetNow - JHB,R 6 100,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Mayfield Park",Available: 12 April 2019,Beds,2,1,51 m²,2 Bedroom Apartment / Flat to Rent in Mayfield Park,
20190534,"R 17 000 3 Hood Avenue, Rosebank 2 Bedroom Apartment / Flat to Rent in Rosebank A STUNNING ULTRA MODERN 2 BEDROOM 2 BATH FULLY FURNISHED APARTMENT Magnificent Contempary Ultra Modern ... Available: 25 March 2019 2 | 2 | 2 Floor Size: 72 m²",2 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Knightbridge Properties,R 17 000,"3 Hood Avenue, Rosebank",Available: 25 March 2019,Beds,2,2,72 m²,2 Bedroom Apartment / Flat to Rent in Rosebank,
20190535,"R 4 200 286 Fox Street, City & Suburban 1 Bedroom Apartment / Flat to Rent in City & Suburban Situated in Main Street Life apartment complex at Maboneng Precinct, this secure, spacious, fourth floor ... Available: 12 April 2019 1 | 1 Floor Size: 33 m²",1 Bedroom Apartment / flat to rent in City & Suburban - Johannesburg, Acutts Midrand,R 4 200,"286 Fox Street, City & Suburban",Available: 12 April 2019,Beds,1,1,33 m²,1 Bedroom Apartment / Flat to Rent in City & Suburban,
20190536,"R 6 350 4 Paul Street, Meredale 2 Bedroom Apartment / Flat to Rent in Meredale • 2 Bedroom, 1 bathroom Security • 24-hour security with patrolling guards and guard-house • 2.1m ... Available: 09 April 2019 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Meredale - Johannesburg, 2LetNow - JHB,R 6 350,"4 Paul Street, Meredale",Available: 09 April 2019,Beds,2,1,56 m²,2 Bedroom Apartment / Flat to Rent in Meredale,
20190537,"R 5 950 Unit 171 Alan Manor Mews, Alan Manor 2 Bedroom Apartment / Flat to Rent in Alan Manor Alan Manor Mews is centrally located in the South of Joburg on main bus and taxi routes and close to malls ... Available: 01 April 2019 2 | 1 Floor Size: 60 m²",2 Bedroom Apartment / flat to rent in Alan Manor - Johannesburg, Seeff Kibler Park,R 5 950,"Unit 171 Alan Manor Mews, Alan Manor",Available: 01 April 2019,Beds,2,1,60 m²,2 Bedroom Apartment / Flat to Rent in Alan Manor,
20190538,R 9 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate Beautiful north-facing cottage available for single professional. Hang your hat on this stylishly ... Available: 01 May 2019 1 | 1 Floor Size: 40 m²,1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Fengari Properties,R 9 000,,Available: 01 May 2019,Beds,1,1,40 m²,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20190539,"R 12 000 Jan Smuts Avenue, Craighall 2 Bedroom Apartment / Flat to Rent in Craighall Duplex unit with private garden. (no Pets) Semi open plan kitchen with door to back yard. Separate dining ... Available: 01 May 2019 2 | 2 Floor Size: 109 m²", Beds, Bathrooms,,, ,2,109 m²,,,Available: 01 May 2019,
20190540,"R 6 550 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 6 550,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park",Available: 01 April 2019,Beds,2,1,56 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190541,"R 11 500 15 8th Street, Houghton Estate 1 Bedroom Apartment / Flat to Rent in Houghton Estate 1 Bedroom Apartment For Rent In Houghton “This Property Is Professionally Managed By Etchells & Young ... Available: 01 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Etchells & Young Property Brokers,R 11 500,"15 8th Street, Houghton Estate",Available: 01 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20190542,"R 3 000 Coimbra Court, Leonard Street, Turffontein 1 Bedroom Apartment / Flat to Rent in Turffontein This is a one bedroom, one bathroom apartment available for rent in Turffontein. The bathroom includes a bath, toilet and basin and the remainder of the ... 1 | 1",1 Bedroom Apartment / flat to rent in Turffontein - Johannesburg, Landstar Property Solutions,rent_amount,"Coimbra Court, Leonard Street, Turffontein",,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Turffontein,
20190543,"R 8 300 247 Bellairs Drive, Glenvista 2 Bedroom Townhouse to Rent in Glenvista Opulent Townhouse in Glenvista to rent. Available immediately!! The stunning property is situated in a neat and safe complex with 24 hour security and an ... 2 | 1","2 Bedroom Townhouse to rent in Glenvista - Johannesburg; Just Property, Alberton; Beds; Bathrooms", , ,"Just Property, Alberton",Beds, ,1,  ,, ,
20190544,"R 32 000 Oak Lane, Atholl Oaklands Road, Melrose Arch 2 Bedroom Apartment / Flat to Rent in Melrose Arch Tastefully fully furnished and equipped two bedroom apartment situated on the second floor in Melrose ... Available: 01 May 2019 2 | 2.5 Floor Size: 176 m²", Beds, Bathrooms,,, ,2.5,176 m²,,,Available: 01 May 2019,
20190545,"R 8 500 Scott Street, Melrose 1 Bedroom Apartment / Flat to Rent in Melrose Very upmarket and stylish fully furnished townhouse featuring 1 bedroom and full bathroom. There is an open ... Available: 09 April 2019 1 | 1 Floor Size: 58 m²",1 Bedroom Apartment / flat to rent in Melrose - Johannesburg, Knightbridge Properties,R 8 500,"Scott Street, Melrose",Available: 09 April 2019,Beds,1,1,58 m²,1 Bedroom Apartment / Flat to Rent in Melrose,
20190546,"R 5 500 1 Paul Road, Corner Tamboti Street Alveda Park 2091, Ridgeway 2 Bedroom Apartment / Flat to Rent in Ridgeway State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 45 m²",2 Bedroom Apartment / flat to rent in Ridgeway - Johannesburg, 2LetNow - JHB,R 5 500,"1 Paul Road, Corner Tamboti Street Alveda Park 2091, Ridgeway",Available: 01 April 2019,Beds,2,1,45 m²,2 Bedroom Apartment / Flat to Rent in Ridgeway,
20190547,"R 5 500 1 Paul Road, Corner Tamboti Street, Alveda Park 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 45 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 5 500,"1 Paul Road, Corner Tamboti Street, Alveda Park 2091, Kibler Park",Available: 01 April 2019,Beds,2,1,45 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190548,"R 6 100 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 6 100,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park",Available: 01 April 2019,Beds,2,1,51 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190549,"R 5 850 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park State of Art and Enhance Security System, Stay in the South of Johannesburg Brand New Units 2 Bed, 1 Bath ... Available: 01 April 2019 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 5 850,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Kibler Park",Available: 01 April 2019,Beds,2,1,51 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190550,"R 7 500 1 Jordie Street, Mulbarton 3 Bedroom Townhouse to Rent in Mulbarton This is a 3 Bedroom, 1 and half bathroom ground floor unit based in Mulbarton Cricklewood Complex . The ... Available: 01 April 2019 3 | 2",3 Bedroom Townhouse to rent in Mulbarton - Johannesburg, Harcourts 1 Vision,R 7 500,"1 Jordie Street, Mulbarton",Available: 01 April 2019,Beds,3,2,,3 Bedroom Townhouse to Rent in Mulbarton,
20190551,"R 4 000 260 Main Street, City & Suburban 0.5 Bedroom Apartment / Flat to Rent in City & Suburban Amazing Bachelor apartment to let at Craftmanship. The apartment building is one of the residential buildings in the Maboneng Precinct offering a bachelor ... 0.5 | 1",0.5 Bedroom Apartment / flat to rent in City & Suburban - Johannesburg, Mamela Estates,R 4 000,"260 Main Street, City & Suburban",,Beds,0.5,0.5 | 1, ,0.5 Bedroom Apartment / Flat to Rent in City & Suburban,
20190552,"R 8 500 41 7th Street, Parktown North 1 Bedroom Apartment / Flat to Rent in Parktown North Studio Apartment For Rent in Parktown Recently renovated Ground Floor Studio apartment in exclusive and ... Available: 01 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Parktown North - Johannesburg, Etchells & Young Property Brokers,R 8 500,"41 7th Street, Parktown North",Available: 01 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Parktown North,
